Symbol,Name
AMC,AMC Entertainment Holdings Inc. Cl A
LC,LendingClub Corp.
COST,Costco Wholesale Corp.
KO,Coca-Cola Co.
GME,GameStop Corp. Cl A
MSFT,Microsoft Corp.
SHW,Sherwin-Williams Co.
XPEV,XPeng Inc. ADR
NVAX,Novavax Inc.
BABA,Alibaba Group Holding Ltd. ADR
TGT,Target Corp.
AMZN,Amazon.com Inc.
UNP,Union Pacific Corp.
SNAP,Snap Inc.
WMT,Walmart Inc.
TSLA,Tesla Inc.
NIO,NIO Inc. ADR
JNJ,Johnson & Johnson
U,Unity Software Inc.
PLTR,Palantir Technologies Inc.
EQIX,Equinix Inc.
SNDL,Sundial Growers Inc.
SNOW,Snowflake Inc.
AAPL,Apple Inc.
ISRG,Intuitive Surgical Inc.
